S/N		Words               		Frequency
774		alps                		4
775		already             		148
776		also                		42
777		alt'red             		4
778		alt'ring            		2
779		altar               		11
780		altars              		3
781		alter               		15
782		alter'd             		14
783		alteration          		11
784		altered             		2
785		alternate           		1
786		alternative         		1
787		alternatively       		2
788		alters              		4
789		althaea             		2
790		althaea's           		1
791		although            		79
792		altitude            		3
793		altogether          		23
794		altogether's        		1
795		alton               		1
796		alway               		1
797		always              		62
798		always-wind-obeying 		1
799		am                  		2168
800		amaimon             		1
801		amain               		14
802		amaking             		1
803		amamon              		1
804		amaz'd              		29
805		amaze               		9
806		amazed              		11
807		amazedly            		4
808		amazedness          		2
809		amazement           		12
810		amazes              		1
811		amazeth             		1
812		amazing             		1
813		amazon              		4
814		amazonian           		2
815		amazons             		4
816		ambassador          		28
817		ambassadors         		20
818		amber               		6
819		amber-colour'd      		1
820		ambiguides          		1
821		ambiguities         		1
822		ambiguous           		1
823		ambition            		45
824		ambition's          		2
825		ambitions           		2
826		ambitious           		37
827		ambitiously         		2
828		amble               		1
829		ambled              		1
830		ambles              		4
831		ambling             		3
832		ambo                		1
833		ambuscadoes         		1
834		ambush              		8
835		amen                		82
836		amen'               		1
837		amend               		18
838		amended             		4
839		amendment           		4
840		amends              		24
841		amerce              		1
842		america             		1
843		ames-ace            		1
844		amiable             		7
845		amid                		1
846		amidst              		1
847		amiens              		16
848		amis                		2
849		amiss               		37
850		amities             		2
851		amity               		23
852		amnipotent          		1
853		among               		93
854		among's             		1
855		amongst             		37
856		amorous             		23
857		amorously           		1
858		amort               		2
859		amount              		7
860		amounts             		3
861		amphimacus          		1
862		ample               		16
863		ampler              		1
864		amplest             		2
865		amplified           		1
866		amplify             		3
867		amply               		3
868		ampthill            		1
869		amurath             		2
870		amyntas             		1
871		an                  		1840
872		an'                 		1
873		an't                		50
874		an-ape              		1
875		an-hungry           		1
876		anatomiz'd          		2
877		anatomize           		3
878		anatomy             		4
879		ancestor            		5
880		ancestors           		20
881		ancestry            		4
882		anchises            		2
883		anchises'           		1
884		anchor              		6
885		anchor'd            		1
886		anchor's            		1
887		anchorage           		1
888		anchored            		1
889		anchoring           		2
890		anchors             		5
891		anchovies           		1
892		ancient             		78
893		ancient'st          		1
894		ancientry           		2
895		ancients            		1
896		ancus               		1
897		and                 		26801
898		and'                		1
899		and't               		1
900		and-a               		1
901		and-do              		1
902		and-how             		1
903		and-prithee         		1
904		andirons            		1
905		andpholus           		1
906		andren              		1
907		andrew              		29
908		andromache          		12
909		andronici           		4
910		andronicus          		58
911		andronicus'         		1
912		anew                		8
913		ang'red             		4
914		ang'ring            		1
915		angel               		51
916		angel'              		1
917		angel-like          		2
918		angelica            		1
919		angelical           		1
920		angelo              		209
921		angelo's            		7
922		angels              		35
923		angels'             		2
924		anger               		54
925		anger'd             		4
926		anger's             		2
927		angerly             		2
928		angers              		4
929		anges               		1
930		angiers             		18
931		angl'd              		1
932		anglais             		2
933		angle               		8
934		angler              		1
935		angleterre          		1
936		angliae             		1
937		angling             		3
938		anglish             		1
939		angrily             		1
940		angry               		93
941		anguish             		6
942		angus               		12
943		animal              		3
944		animals             		5
945		animis              		1
946		anjou               		18
947		ankle               		1
948		anna                		1
949		annals              		1
950		anne                		174
951		anne's              		4
952		annex'd             		1
953		annexed             		1
954		annexions           		1
955		annexment           		1
956		annothanize         		1
957		announces           		1
958		annoy               		8
959		annoy'd             		1
960		annoyance           		5
961		annoying            		1
962		annual              		4
963		anoint              		2
964		anointed            		19
965		anon                		127
966		another             		429
967		another'            		1
968		another's           		25
969		anselmo             		1
970		answer              		381
971		answer'd            		39
972		answer'st           		2
973		answer't            		1
974		answerable          		3
975		answered            		17
976		answerest           		1
977		answering           		8
978		answers             		24
979		ant                 		24
980		ante-chamber        		2
981		antenor             		17
982		antenorides         		1
983		anteroom            		1
984		anthem              		1
985		anthems             		1
986		anthony             		5
987		anthropophagi       		1
988		anthropophaginian   		1
989		antiates            		4
990		antic               		11
991		anticipate          		1
992		anticipates         		1
993		anticipatest        		1
994		anticipating        		1
995		anticipation        		1
996		antick'd            		1
997		anticly             		1
998		antics              		2
999		antidote            		1
1000		antidotes           		1
1001		antigonus           		32
1002		antiopa             		1
1003		antipathy           		1
1004		antipholus          		219
1005		antipholus'         		1
1006		antipholuses        		1
1007		antipodes           		5
1008		antiquary           		1
1009		antique             		15
1010		antiquity           		7
1011		antium              		10
1012		antoniad            		1
1013		antonio             		253
1014		antonio's           		10
1015		antonius            		3
1016		antonius'           		1
1017		antony              		508
1018		antony'             		1
1019		antony's            		11
1020		antres              		1
1021		anvil               		2
1022		any                 		973
1023		any's               		2
1024		anybody             		4
1025		anyone              		7
1026		anything            		107
1027		anywhere            		8
1028		ap                  		1
1029		apace               		27
1030		apart               		40
1031		apartment           		1
1032		apartments          		2
1033		ape                 		21
1034		ape-bearer          		1
1035		apemantus           		132
1036		apemantus'          		1
1037		apennines           		1
1038		apes                		11
1039		apiece              		4
1040		apish               		5
1041		apollinem           		1
1042		apollo              		18
1043		apollo'             		1
1044		apollo's            		7
1045		apollodorus         		1
1046		apology             		5
1047		apoplex'd           		1
1048		apoplexy            		4
1049		apostle             		1
1050		apostles            		1
1051		apostrophas         		1
1052		apoth               		4
1053		apothecary          		7
1054		appal               		2
1055		appall'd            		1
1056		appalled            		1
1057		appals              		2
1058		apparel             		40
1059		apparell'd          		5
1060		apparelled          		1
1061		apparent            		25
1062		apparently          		1
1063		apparition          		12
1064		apparitions         		3
1065		appeach             		2
1066		appeach'd           		1
1067		appeal              		18
1068		appeal'd            		1
1069		appeals             		1
1070		appear              		130
1071		appear'd            		21
1072		appearance          		13
1073		appeared            		6
1074		appeareth           		3
1075		appearing           		8
1076		appears             		51
1077		appeas'd            		4
1078		appease             		4
1079		appeased            		1
1080		appelant's          		1
1081		appele              		1
1082		appelee             		1
1083		appeles             		1
1084		appelez-vous        		4
1085		appellant           		5
1086		appellants          		1
1087		appelons            		1
1088		appendix            		1
1089		apperil             		1
1090		appertain           		2
1091		appertaining        		3
1092		appertainings       		2
1093		appertains          		1
1094		appertinent         		2
1095		appertinents        		1
1096		appetite            		38
1097		appetites           		4
1098		applaud             		11
1099		applauded           		1
1100		applauding          		2
1101		applause            		12
1102		applause-and        		1
1103		applauses           		1
1104		apple               		10
1105		apple-john          		1
1106		apple-johns         		1
1107		apples              		3
1108		appletart           		1
1109		appliance           		3
1110		appliances          		2
1111		applicable          		3
1112		applications        		1
1113		applied             		5
1114		applies             		3
1115		apply               		17
1116		applying            		3
1117		appoint             		12
1118		appointed           		31
1119		appointment         		10
1120		appointments        		3
1121		appoints            		1
1122		apprehend           		17
1123		apprehend'st        		1
1124		apprehended         		9
1125		apprehends          		3
1126		apprehension        		14
1127		apprehensions       		3
1128		apprehensive        		3
1129		apprenticehood      		1
1130		appris              		1
1131		approach            		73
1132		approach'd          		4
1133		approachers         		1
1134		approaches          		16
1135		approacheth         		4
1136		approaching         		5
1137		approbation         		13
1138		approof             		4
1139		appropriation       		1
1140		approv'd            		5
1141		approve             		27
1142		approved            		13
1143		approvers           		1
1144		approves            		5
1145		appurtenance        		1
1146		appurtenances       		1
1147		apricocks           		2
1148		april               		15
1149		april's             		3
1150		apron               		3
1151		aprons              		5
1152		apt                 		42
1153		apter               		2
1154		aptest              		1
1155		aptly               		7
1156		aptness             		3
1157		aqua                		1
1158		aqua-vita           		1
1159		aqua-vitae          		3
1160		aqua-vitx           		1
1161		aquilon'd           		1
1162		aquitaine           		8
1163		arabia              		5
1164		arabian             		3
1165		araise              		1
1166		arbitrate           		5
1167		arbitrating         		1
1168		arbitrator          		2
1169		arbitrement         		6
1170		arbors              		1
1171		arbour              		6
1172		arc                 		3
1173		arch                		14
1174		arch'd              		1
1175		arch-enemy          		1
1176		arch-heretic        		1
1177		arch-mock           		1
1178		arch-villain        		2
1179		archbishop          		69
1180		archbishop's        		4
1181		archbishopric       		1
1182		archdeacon          		1
1183		archdeacon's        		1
1184		arched              		2
1185		archelaus           		1
1186		archer              		2
1187		archers             		3
1188		archery             		2
1189		archibald           		2
1190		archidamus          		9
1191		architect           		1
1192		archive             		13
1193		arcu                		1
1194		arde                		1
1195		arden               		7
1196		ardent              		1
1197		ardour              		2
1198		are                 		3874
1199		argal               		3
1200		argier              		2
1201		argo                		1
1202		argosies            		3
1203		argosy              		5
1204		argu'd              		1
1205		argue               		5
1206		argued              		2
1207		argues              		11
1208		arguing             		3
1209		argument            		67
1210		arguments           		11
1211		argus               		3
1212		ariachne's          		1
1213		ariadne             		2
1214		ariel               		91
1215		ariel's             		2
1216		aries               		1
1217		aright              		9
1218		arinado's           		1
1219		arinies             		1
1220		arion               		1
1221		arise               		39
1222		arises              		1
1223		ariseth             		2
1224		arising             		1
1225		aristode            		1
1226		aristotle's         		1
1227		arithmetic          		6
1228		arithmetician       		1
1229		ark                 		1
1230		arm                 		142
1231		arm'd               		39
1232		arm's               		3
1233		arm-gaunt           		1
1234		arm-the             		1
1235		armado              		123
1236		armado's            		1
1237		armadoes            		1
1238		armagnac            		3
1239		arme                		2
1240		armed               		33
1241		armenia             		2
1242		armies              		12
1243		armigero            		1
1244		armigero'           		1
